place a b c d e f g h
Abbotsham 1475.91 1721.90 1967.89 2213.87 2705.84 3197.82 3689.78 4427.74
Abbots_Bickington 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
Alverdiscott_Huntshaw 1471.27 1716.48 1961.70 2206.90 2697.32 3187.75 3678.17 4413.8
Alwington 1473.26 1718.81 1964.35 2209.89 2700.97 3192.07 3683.15 4419.78
Ashreigney 1480.39 1727.13 1973.86 2220.59 2714.05 3207.52 3700.98 4441.18
Ashwater 1470.13 1715.16 1960.18 2205.20 2695.24 3185.29 3675.33 4410.4
Beaford 1471.93 1717.25 1962.58 2207.89 2698.53 3189.18 3679.82 4415.78
Bideford 1523.11 1776.97 2030.82 2284.67 2792.37 3300.08 3807.78 4569.34
Black_Torrington 1483.48 1730.73 1977.98 2225.22 2719.71 3214.21 3708.70 4450.44
Bradford_Cookbury 1467.57 1712.16 1956.76 2201.35 2690.54 3179.73 3668.92 4402.7
Bradworthy 1480.21 1726.92 1973.62 2220.32 2713.72 3207.13 3700.53 4440.64
Bridgerule 1474.32 1720.04 1965.77 2211.48 2702.92 3194.36 3685.80 4422.96
Broadwoodwidger 1480.17 1726.87 1973.57 2220.26 2713.65 3207.05 3700.43 4440.52
Buckland_Brewer 1478.85 1725.32 1971.80 2218.27 2711.22 3204.17 3697.12 4436.54
Buckland_Filleigh 1484.33 1731.73 1979.12 2226.50 2721.27 3216.06 3710.83 4453
Bulkworthy 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
Clawton 1483.02 1730.19 1977.37 2224.53 2718.87 3213.21 3707.55 4449.06
Clovelly 1470.39 1715.45 1960.52 2205.58 2695.71 3185.84 3675.97 4411.16
Dolton 1480.62 1727.39 1974.17 2220.93 2714.47 3208.01 3701.55 4441.86
Dowland 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
East_West_Putford 1466.05 1710.40 1954.74 2199.08 2687.76 3176.45 3665.13 4398.16
Frithelstock 1492.73 1741.53 1990.32 2239.10 2736.67 3234.26 3731.83 4478.2
Great_Torrington 1537.67 1793.95 2050.23 2306.50 2819.05 3331.61 3844.17 4613
Halwill 1481.93 1728.92 1975.91 2222.89 2716.86 3210.84 3704.82 4445.78
Hartland 1474.51 1720.26 1966.02 2211.76 2703.26 3194.77 3686.27 4423.52
High_Bickington 1472.21 1717.58 1962.95 2208.31 2699.04 3189.78 3680.52 4416.62
Hollacombe 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
Holsworthy 1559.81 1819.79 2079.76 2339.72 2859.65 3379.60 3899.53 4679.44
Holsworthy_Hamlets 1471.13 1716.33 1961.52 2206.70 2697.07 3187.46 3677.83 4413.4
Huish 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
Landcross_Littleham 1470.48 1715.56 1960.65 2205.72 2695.88 3186.04 3676.20 4411.44
Langtree 1470.95 1716.12 1961.28 2206.43 2696.74 3187.07 3677.38 4412.86
Little_Torrington 1463.46 1707.37 1951.29 2195.19 2683.01 3170.83 3658.65 4390.38
Luffincott_Tetcott 1489.53 1737.79 1986.05 2234.30 2730.81 3227.33 3723.83 4468.6
Merton 1516.81 1769.61 2022.42 2275.21 2780.81 3286.42 3792.02 4550.42
Milton_Damerel 1468.47 1713.22 1957.97 2202.71 2692.20 3181.70 3671.18 4405.42
Monkleigh 1483.73 1731.02 1978.31 2225.59 2720.16 3214.74 3709.32 4451.18
Northam 1518.91 1772.06 2025.22 2278.36 2784.66 3290.97 3797.27 4556.72
Newton_St_Petrock 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
Pancrasweek 1462.61 1706.39 1950.16 2193.92 2681.45 3169.00 3656.53 4387.84
Parkham 1483.42 1730.66 1977.90 2225.13 2719.60 3214.08 3708.55 4450.26
Peters_Marland 1463.55 1707.48 1951.41 2195.33 2683.18 3171.04 3658.88 4390.66
Petrockstowe 1470.51 1715.59 1960.68 2205.76 2695.93 3186.10 3676.27 4411.52
Pyworthy 1464.75 1708.87 1953.00 2197.12 2685.37 3173.62 3661.87 4394.24
Roborough 1470.05 1715.07 1960.08 2205.08 2695.09 3185.12 3675.13 4410.16
Shebbear 1476.88 1723.03 1969.18 2215.32 2707.61 3199.91 3692.20 4430.64
Sheepwash 1491.13 1739.65 1988.18 2236.69 2733.73 3230.78 3727.82 4473.38
St_Giles_Heath_Northcott 1494.03 1743.04 1992.05 2241.05 2739.06 3237.08 3735.08 4482.1
St_Giles_Wood 1467.99 1712.65 1957.32 2201.98 2691.31 3180.64 3669.97 4403.96
Sutcombe 1483.32 1730.54 1977.77 2224.98 2719.42 3213.86 3708.30 4449.96
Thornbury 1477.95 1724.28 1970.61 2216.93 2709.58 3202.24 3694.88 4433.86
Virginstow 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
Weare_Giffard 1472.21 1717.58 1962.95 2208.31 2699.04 3189.78 3680.52 4416.62
Welcombe 1469.97 1714.96 1959.96 2204.95 2694.94 3184.93 3674.92 4409.9
Winkleigh 1486.53 1734.28 1982.04 2229.79 2725.30 3220.81 3716.32 4459.58
Woolsery 1472.60 1718.04 1963.47 2208.90 2699.76 3190.64 3681.50 4417.8
Yarnscombe 1488.26 1736.31 1984.35 2232.39 2728.47 3224.57 3720.65 4464.78
Lundy 1450.99 1692.82 1934.66 2176.48 2660.14 3143.81 3627.47 4352.96
